Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high
Autumn 2017,Antulang,48.33,3,8.5,4.91,27.21,69.46,43.42,53.24,26.67,3,4.16,2.4,16.32,37.01,24.26,29.07,24.67,3,0.58,0.33,23.23,26.1,24.33,25.0,38.33,3,26.63,15.38,0.0,104.49,22.96,53.71,98.0,3,72.69,41.97,0.0,278.57,56.03,139.97,236.0,3,109.53,63.24,0.0,508.09,172.76,299.24,129.33,3,113.17,65.34,0.0,410.45,64.0,194.67,29.79,3,34.8,20.09,0.0,116.23,9.7,49.88,24.36,3,31.84,18.38,0.0,103.47,5.98,42.75
Winter 17/18,Antulang,38.0,2,11.31,8.0,0.0,139.65,30.0,46.0,27.5,2,14.85,10.5,0.0,160.92,17.0,38.0,19.0,2,1.41,1.0,6.29,31.71,18.0,20.0,14.0,2,2.83,2.0,0.0,39.41,12.0,16.0,22.5,2,7.78,5.5,0.0,92.38,17.0,28.0,121.0,2,5.66,4.0,70.18,171.82,117.0,125.0,45.0,2,9.9,7.0,0.0,133.94,38.0,52.0,3.1,2,0.57,0.4,0.0,8.17,2.7,3.49,1.43,2,0.07,0.05,0.82,2.04,1.38,1.48
Spring 2018,Antulang,30.1,10,13.7,4.33,20.3,39.9,25.77,34.43,25.2,10,12.93,4.09,15.95,34.45,21.11,29.29,12.8,10,7.24,2.29,7.62,17.98,10.51,15.09,20.7,10,10.03,3.17,13.52,27.88,17.53,23.87,83.2,10,73.19,23.14,30.84,135.56,60.06,106.34,172.0,10,91.76,29.02,106.36,237.64,142.98,201.02,108.1,10,84.43,26.7,47.7,168.5,81.4,134.8,9.55,10,7.9,2.5,3.9,15.2,7.05,12.04,7.1,10,7.47,2.36,1.75,12.44,4.73,9.46
Summer 2018,Antulang,51.67,6,40.74,16.63,8.92,94.42,35.04,68.3,25.5,6,15.48,6.32,9.26,41.74,19.18,31.82,31.5,6,16.55,6.76,14.13,48.87,24.74,38.26,55.67,6,39.86,16.27,13.83,97.5,39.39,71.94,70.83,6,53.96,22.03,14.2,127.46,48.8,92.86,235.17,6,145.84,59.54,82.12,388.22,175.63,294.71,94.67,6,58.68,23.96,33.09,156.25,70.71,118.62,11.59,6,5.55,2.27,5.77,17.42,9.33,13.86,7.93,6,6.2,2.53,1.42,14.43,5.39,10.46
Autumn 2018,Antulang,80.25,4,27.96,13.98,35.76,124.74,66.27,94.23,65.75,4,34.04,17.02,11.58,119.92,48.73,82.77,59.5,4,20.76,10.38,26.47,92.53,49.12,69.88,46.0,4,18.28,9.14,16.92,75.08,36.86,55.14,199.0,4,138.33,69.17,0.0,419.11,129.83,268.17,450.5,4,190.38,95.19,147.56,753.44,355.31,545.69,236.0,4,178.46,89.23,0.0,519.96,146.77,325.23,23.05,4,16.34,8.17,0.0,49.05,14.88,31.22,15.41,4,13.75,6.87,0.0,37.28,8.53,22.28
Winter 18/19,Antulang,81.0,3,27.87,16.09,11.76,150.24,64.91,97.09,48.33,3,0.58,0.33,46.9,49.77,48.0,48.67,65.67,3,26.31,15.19,0.3,131.03,50.48,80.86,325.33,3,454.38,262.34,0.0,1454.07,63.0,587.67,386.67,3,215.57,124.46,0.0,922.17,262.21,511.13,907.0,3,254.18,146.75,275.57,1538.43,760.25,1053.75,596.67,3,385.38,222.5,0.0,1553.99,374.17,819.16,67.66,3,64.09,37.0,0.0,226.86,30.65,104.66,60.79,3,66.27,38.26,0.0,225.41,22.53,99.05
Spring 2019,Antulang,39.62,8,30.74,10.87,13.92,65.33,28.76,50.49,31.12,8,14.94,5.28,18.63,43.62,25.84,36.41,25.75,8,21.92,7.75,7.42,44.08,18.0,33.5,39.75,8,47.49,16.79,0.04,79.46,22.96,56.54,309.25,8,326.51,115.44,36.28,582.22,193.81,424.69,445.5,8,365.05,129.07,140.31,750.69,316.43,574.57,268.38,8,316.33,111.84,3.92,532.83,156.54,380.21,14.46,8,14.59,5.16,2.26,26.65,9.3,19.62,10.97,8,14.09,4.98,0.0,22.75,5.99,15.96
Summer 2019,Antulang,38.0,8,13.27,4.69,26.91,49.09,33.31,42.69,25.75,8,13.95,4.93,14.09,37.41,20.82,30.68,30.38,8,13.66,4.83,18.96,41.79,25.55,35.2,38.62,8,26.99,9.54,16.06,61.19,29.08,48.17,332.88,8,273.29,96.62,104.4,561.35,236.25,429.5,465.62,8,322.57,114.04,195.95,735.3,351.58,579.67,239.38,8,245.55,86.82,34.09,444.66,152.56,326.19,14.16,8,12.32,4.36,3.86,24.46,9.81,18.52,10.25,8,10.57,3.74,1.41,19.09,6.51,13.99
Autumn 2019,Antulang,22.22,9,12.78,4.26,12.4,32.05,17.96,26.48,25.22,9,11.39,3.8,16.47,33.98,21.43,29.02,18.11,9,12.86,4.29,8.23,28.0,13.82,22.4,25.11,9,28.27,9.42,3.38,46.84,15.69,34.53,63.11,9,81.08,27.03,0.78,125.44,36.08,90.14,153.78,9,128.03,42.68,55.37,252.19,111.1,196.45,74.11,9,77.77,25.92,14.33,133.89,48.19,100.03,3.25,9,3.66,1.22,0.44,6.06,2.03,4.47,1.95,9,2.43,0.81,0.08,3.82,1.14,2.76
Winter 19/20,Antulang,47.17,6,17.71,7.23,28.58,65.76,39.94,54.4,31.5,6,13.46,5.49,17.38,45.62,26.01,36.99,38.83,6,12.67,5.17,25.54,52.13,33.66,44.01,35.5,6,18.94,7.73,15.62,55.38,27.77,43.23,273.83,6,212.9,86.92,50.41,497.26,186.92,360.75,426.83,6,202.71,82.76,214.1,639.57,344.08,509.59,214.83,6,272.24,111.14,0.0,500.53,103.69,325.98,19.35,6,19.19,7.84,0.0,39.5,11.52,27.19,14.09,6,19.52,7.97,0.0,34.58,6.12,22.06
