Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring/Summer 17,Lutoban Pier,5,1,5.0,,,,5.0,1.0,5.0,,,
Autumn/Winter 17/18,Lutoban Pier,22,24,0.92,20.0,10.0,2.0,14.0,6.0,2.33,13.0,8.0,1.62
Spring/Summer 18,Lutoban Pier,21,33,0.64,18.0,9.0,2.0,18.0,12.0,1.5,11.0,12.0,0.92
Autumn/Winter 18/19,Lutoban Pier,25,16,1.56,21.0,5.0,4.2,14.0,5.0,2.8,12.0,6.0,2.0
Spring/Summer 19,Lutoban Pier,35,29,1.21,23.0,10.0,2.3,19.0,10.0,1.9,22.0,9.0,2.44
Autumn/Winter 19/20,Lutoban Pier,35,42,0.83,28.0,14.0,2.0,25.0,12.0,2.08,14.0,16.0,0.88
Spring/Summer 22,Lutoban Pier,37,26,1.42,29.0,8.0,3.62,23.0,10.0,2.3,16.0,8.0,2.0
Autumn/Winter 22/23,Lutoban Pier,37,21,1.76,34.0,7.0,4.86,21.0,6.0,3.5,20.0,8.0,2.5
Spring/Summer 23,Lutoban Pier,42,37,1.14,37.0,13.0,2.85,29.0,12.0,2.42,27.0,12.0,2.25
Autumn/Winter 23/24,Lutoban Pier,33,17,1.94,22.0,5.0,4.4,15.0,5.0,3.0,18.0,7.0,2.57
Spring/Summer 24,Lutoban Pier,42,15,2.8,31.0,6.0,5.17,26.0,4.0,6.5,23.0,5.0,4.6
Autumn/Winter 24/25,Lutoban Pier,38,33,1.15,33.0,11.0,3.0,30.0,12.0,2.5,29.0,10.0,2.9
Spring/Summer 25,Lutoban Pier,50,41,1.22,41.0,12.0,3.42,41.0,15.0,2.73,31.0,14.0,2.21
